file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a2a02420,djmans630,2025-01-09,19:27:30,-08:00,2025-01-09T19:27:30-08:00,0,5
style.css,2,css,a2a02420,djmans630,2025-01-09,19:27:30,-08:00,2025-01-09T19:27:30-08:00,0,44
style.css,3,css,a2a02420,djmans630,2025-01-09,19:27:30,-08:00,2025-01-09T19:27:30-08:00,0,43
style.css,4,css,a2a02420,djmans630,2025-01-09,19:27:30,-08:00,2025-01-09T19:27:30-08:00,0,1
style.css,5,css,a2a02420,djmans630,2025-01-09,19:27:30,-08:00,2025-01-09T19:27:30-08:00,0,24
style.css,6,css,93ae33af,djmans630,2025-01-17,17:44:52,-08:00,2025-01-17T17:44:52-08:00,0,16
style.css,7,css,8defdc66,djmans630,2025-01-17,17:19:39,-08:00,2025-01-17T17:19:39-08:00,0,19
style.css,8,css,93ae33af,djmans630,2025-01-17,17:44:52,-08:00,2025-01-17T17:44:52-08:00,0,13
style.css,9,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,0
style.css,10,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,0
style.css,11,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,2
style.css,12,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,8
style.css,13,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,17
style.css,14,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,0
style.css,15,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,0
style.css,16,css,2afd818d,djmans630,2025-01-17,19:02:50,-08:00,2025-01-17T19:02:50-08:00,0,4
style.css,17,css,d82ec410,djmans630,2025-01-24,20:09:30,-08:00,2025-01-24T20:09:30-08:00,0,40
style.css,18,css,e0ac1f4e,djmans630,2025-01-17,18:10:10,-08:00,2025-01-17T18:10:10-08:00,0,13
style.css,19,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,21
style.css,20,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,14
style.css,21,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,18
style.css,22,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,14
style.css,23,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,19
style.css,24,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,24
style.css,25,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,26
style.css,26,css,d82ec410,djmans630,2025-01-24,20:09:30,-08:00,2025-01-24T20:09:30-08:00,0,42
style.css,27,css,d82ec410,djmans630,2025-01-24,20:09:30,-08:00,2025-01-24T20:09:30-08:00,0,40
style.css,28,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,0
style.css,29,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,0
style.css,30,css,8635b96d,djmans630,2025-01-17,19:18:33,-08:00,2025-01-17T19:18:33-08:00,0,2
style.css,31,css,8635b96d,djmans630,2025-01-17,19:18:33,-08:00,2025-01-17T19:18:33-08:00,0,7
style.css,32,css,8635b96d,djmans630,2025-01-17,19:18:33,-08:00,2025-01-17T19:18:33-08:00,0,0
style.css,33,css,8635b96d,djmans630,2025-01-17,19:18:33,-08:00,2025-01-17T19:18:33-08:00,0,0
style.css,34,css,8635b96d,djmans630,2025-01-17,19:18:33,-08:00,2025-01-17T19:18:33-08:00,0,9
style.css,35,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,44
style.css,36,css,5a15eddd,djmans630,2025-01-17,18:31:15,-08:00,2025-01-17T18:31:15-08:00,0,21
style.css,37,css,7299ddd1,djmans630,2025-01-17,18:37:18,-08:00,2025-01-17T18:37:18-08:00,0,0
style.css,38,css,7299ddd1,djmans630,2025-01-17,18:37:18,-08:00,2025-01-17T18:37:18-08:00,0,0
style.css,39,css,ac78b525,djmans630,2025-01-17,19:46:16,-08:00,2025-01-17T19:46:16-08:00,0,5
style.css,40,css,7299ddd1,djmans630,2025-01-17,18:37:18,-08:00,2025-01-17T18:37:18-08:00,0,35
